title,rating,year,actors,runtime,url
Aynabaji,9.1,2016,Chanchal Chowdhury;Masuma Rahman Nabila;Partha Barua;Lutfur Rahman George,147 ,https://www.imdb.com//title/tt5354160/
Natsamrat,8.9,2016,Nana Patekar;Medha Manjrekar;Mrunmayee Deshpande;Sunil Barve,166 ,https://www.imdb.com//title/tt5311546/
Dag II,8.7,2016,Caglar Ertugrul;Ufuk Bayraktar;Ahu Türkpençe;Murat Serezli,135 ,https://www.imdb.com//title/tt5813916/
Aruvi,8.5,2016,Aditi Balan;Padmashri Mohammad Ali;Pradeep Anthony;Arnold,130 ,https://www.imdb.com//title/tt5867800/
Dangal,8.4,2016,Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh;Sanya Malhotra,161 ,https://www.imdb.com//title/tt5074352/
Kimi no na wa.,8.4,2016,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita;Aoi Yûki,106 ,https://www.imdb.com//title/tt5311514/
Dhuruvangal Pathinaaru,8.3,2016,Rahman;Prakash Raghavan;Sharath Kumar;Santhosh Krishna,105 ,https://www.imdb.com//title/tt6380520/
Kirik Party,8.3,2016,Rakshit Shetty;Rashmika Mandanna;Samyuktha Hegde;Achyuth Kumar,159 ,https://www.imdb.com//title/tt6054758/
Kshanam,8.3,2016,Adivi Sesh;Adah Sharma;Anasuya Bharadwaj;Satyadev Kancharana,110 ,https://www.imdb.com//title/tt5504168/
Sairat,8.3,2016,Rinku Rajguru;Akash Thosar;Arbaz Shaikh;Tanaji Galgunde,174 ,https://www.imdb.com//title/tt5312232/
Maheshinte Prathikaaram,8.3,2016,Fahadh Faasil;Aparna Balamurali;Soubin Shahir;Alencier Ley Lopez,120 ,https://www.imdb.com//title/tt4851630/
Abad va yek rooz,8.2,2016,Payman Maadi;Navid Mohammadzadeh;Parinaz Izadyar;Shabnam Moghadami,112 ,https://www.imdb.com//title/tt5460658/
Pelli Choopulu,8.2,2016,Abhay Bethiganti;Keshav Deepak;Vijay Deverakonda;Anish Kuruvilla,125 ,https://www.imdb.com//title/tt5824826/
Koe no katachi,8.2,2016,Miyu Irino;Saori Hayami;Aoi Yûki;Kenshô Ono,130 ,https://www.imdb.com//title/tt5323662/
Pink,8.1,2016,Taapsee Pannu;Amitabh Bachchan;Kirti Kulhari;Andrea Tariang,136 ,https://www.imdb.com//title/tt5571734/
Ah-ga-ssi,8.1,2016,Kim Min-hee;Ha Jung-woo;Cho Jin-woong;Moon So-ri,145 ,https://www.imdb.com//title/tt4016934/
Hacksaw Ridge,8.1,2016,Andrew Garfield;Sam Worthington;Luke Bracey;Teresa Palmer,139 ,https://www.imdb.com//title/tt2119532/
Contratiempo,8.1,2016,Mario Casas;Ana Wagener;Jose Coronado;Bárbara Lennie,106 ,https://www.imdb.com//title/tt4857264/
Airlift,8,2016,Akshay Kumar;Nimrat Kaur;Kumud Mishra;Prakash Belawadi,130 ,https://www.imdb.com//title/tt4387040/
La La Land,8,2016,Ryan Gosling;Emma Stone;Rosemarie DeWitt;J.K. Simmons,128 ,https://www.imdb.com//title/tt3783958/
Lion,8,2016,Dev Patel;Nicole Kidman;Rooney Mara;Sunny Pawar,118 ,https://www.imdb.com//title/tt3741834/
Zootropolis,8,2016,Ginnifer Goodwin;Jason Bateman;Idris Elba;Jenny Slate,108 ,https://www.imdb.com//title/tt2948356/
Deadpool,8,2016,Ryan Reynolds;Morena Baccarin;T.J. Miller;Ed Skrein,108 ,https://www.imdb.com//title/tt1431045/
Sing Street,7.9,2016,Ferdia Walsh-Peelo;Aidan Gillen;Maria Doyle Kennedy;Jack Reynor,106 ,https://www.imdb.com//title/tt3544112/
"I, Daniel Blake",7.9,2016,Dave Johns;Hayley Squires;Sharon Percy;Briana Shann,100 ,https://www.imdb.com//title/tt5168192/
Arrival,7.9,2016,Amy Adams;Jeremy Renner;Forest Whitaker;Michael Stuhlbarg,116 ,https://www.imdb.com//title/tt2543164/
Eteros ego,7.9,2016,Pigmalion Dadakaridis;Dimitris Katalifos;Manos Vakousis;Ioanna Kolliopoulou,101 ,https://www.imdb.com//title/tt5221894/
Captain Fantastic,7.9,2016,Viggo Mortensen;George MacKay;Samantha Isler;Annalise Basso,118 ,https://www.imdb.com//title/tt3553976/
24,7.9,2016,Suriya;Samantha Akkineni;Nithya Menen;Saranya Ponvannan,164 ,https://www.imdb.com//title/tt4981966/
Hunt for the Wilderpeople,7.9,2016,Sam Neill;Julian Dennison;Rima Te Wiata;Rachel House,101 ,https://www.imdb.com//title/tt4698684/
M.S. Dhoni: The Untold Story,7.9,2016,Sushant Singh Rajput;Kiara Advani;Anupam Kher;Disha Patani,184 ,https://www.imdb.com//title/tt4169250/
Ma vie de Courgette,7.8,2016,Gaspard Schlatter;Sixtine Murat;Paulin Jaccoud;Michel Vuillermoz,66 ,https://www.imdb.com//title/tt2321405/
Captain America: Civil War,7.8,2016,Chris Evans;Robert Downey Jr.;Scarlett Johansson;Sebastian Stan,147 ,https://www.imdb.com//title/tt3498820/
Star Wars: Rogue One,7.8,2016,Felicity Jones;Diego Luna;Alan Tudyk;Donnie Yen,133 ,https://www.imdb.com//title/tt3748528/
Manchester by the Sea,7.8,2016,Casey Affleck;Michelle Williams;Kyle Chandler;Lucas Hedges,137 ,https://www.imdb.com//title/tt4034228/
Kubo en het Magische Zwaard,7.8,2016,Charlize Theron;Art Parkinson;Matthew McConaughey;Ralph Fiennes,101 ,https://www.imdb.com//title/tt4302938/
Udta Punjab,7.8,2016,Shahid Kapoor;Alia Bhatt;Kareena Kapoor;Diljit Dosanjh,148 ,https://www.imdb.com//title/tt4434004/
Kono sekai no katasumi ni,7.8,2016,Non;Ava Pickard;Kenna Pickard;Karen Strassman,129 ,https://www.imdb.com//title/tt4769824/
